Index,Deflection_nm,Excitation
411,-0.02838,-37.95139134203399
412,-0.0293,-39.11098731456589
413,-0.02777,-40.26440720881178
414,-0.03021,-41.411468886399746
415,-0.02869,-42.55199121299349
416,-0.03052,-43.685794086896294
417,-0.02869,-44.812698467491145
418,-0.0293,-45.93252640351254
419,-0.02686,-47.04510106114816
420,-0.0296,-48.150246751962115
421,-0.028079999999999997,-49.24778896063856
422,-0.027469999999999998,-50.337554372539564
423,-0.02838,-51.419370901073854
424,-0.028079999999999997,-52.493067714870534
425,-0.02777,-53.55847526475602
426,-0.02838,-54.6154253105278
427,-0.027469999999999998,-55.66375094752081
428,-0.02625,-56.7032866329646
429,-0.02655,-57.73386821212371
430,-0.02686,-58.75533294421987
431,-0.02625,-59.767519528130656
432,-0.02625,-60.770268127861016
433,-0.02655,-61.76342039778255
434,-0.02625,-62.746819507639074
435,-0.02472,-63.720310167311126
436,-0.02411,-64.68373865133849
437,-0.02625,-65.63695282319512
438,-0.02502,-66.57980215931326
439,-0.02625,-67.51213777285291
440,-0.0235,-68.43381243721262
441,-0.02502,-69.34468060927864
442,-0.02533,-70.24459845240743
443,-0.02441,-71.13342385913936
444,-0.023190000000000002,-72.01101647363912
445,-0.0238,-72.87723771385949
446,-0.023190000000000002,-73.73195079342511
447,-0.023190000000000002,-74.57502074323257
448,-0.02106,-75.4063144327636
449,-0.0235,-76.22570059110791
450,-0.02106,-77.0330498276926
451,-0.02289,-77.82823465271403
452,-0.02289,-78.6111294972703
453,-0.02106,-79.38161073318982
454,-0.02228,-80.13955669255374
455,-0.02228,-80.8848476869087
456,-0.021670000000000002,-81.61736602616693
457,-0.02197,-82.33699603719123
458,-0.02106,-83.0436240820604
459,-0.02106,-83.73713857601484
460,-0.02106,-84.41743000507643
461,-0.01923,-85.0843909433423
462,-0.02228,-85.73791606994864
463,-0.02014,-86.37790218570217
464,-0.02197,-87.00424822937613
465,-0.02136,-87.61685529366937
466,-0.01923,-88.21562664082502
467,-0.01984,-88.80046771790602
468,-0.01984,-89.37128617172672
469,-0.02045,-89.92799186343609
470,-0.02014,-90.47049688275187
471,-0.01984,-90.99871556184256
472,-0.01984,-91.51256448885553
473,-0.0174,-92.01196252108836
474,-0.01617,-92.49683079780257
475,-0.018920000000000003,-92.9670927526766
476,-0.01587,-93.4226741258962
477,-0.01862,-93.86350297588135
478,-0.01862,-94.28950969064636
479,-0.018920000000000003,-94.70062699879253
480,-0.01801,-95.09678998013109
481,-0.01617,-95.47793607593486
482,-0.0177,-95.84400509881687
483,-0.0177,-96.19493924223482
484,-0.01862,-96.53068308961934
485,-0.01923,-96.85118362312478
486,-0.0177,-97.15639023200163
487,-0.01526,-97.44625472058821
488,-0.01587,-97.72073131592161
489,-0.01495,-97.97977667496556
490,-0.01465,-98.22334989145494
491,-0.01465,-98.45141250235527
492,-0.01465,-98.66392849393645
493,-0.0177,-98.86086430745995
494,-0.01587,-99.04218884447779
495,-0.01343,-99.2078734717436
496,-0.01648,-99.35789202573407
497,-0.01343,-99.49222081678045
498,-0.013730000000000001,-99.61083863280946
499,-0.01648,-99.71372674269287
